iter	RMSE
0	7794.300421
1	7521.069313
2	7260.08181
3	7010.299473
4	6774.395524
5	6554.100236
6	6343.856084
7	6157.721988
8	5971.643818
9	5798.777433
10	5635.332068
11	5485.150671
12	5342.072161
13	5207.493081
14	5080.875373
15	4961.861654
16	4847.865756
17	4745.895928
18	4648.80062
19	4557.52565
20	4472.483325
21	4389.847317
22	4314.193616
23	4245.004862
24	4177.67034
25	4117.727292
26	4060.426727
27	4005.793363
28	3957.819887
29	3909.470853
30	3864.475521
31	3824.840087
32	3785.14597
33	3747.876362
34	3714.398922
35	3682.166407
36	3647.243829
37	3618.545828
38	3590.22253
39	3565.343643
40	3541.994053
41	3519.61886
42	3497.970647
43	3478.574931
44	3459.891749
45	3441.091282
46	3423.972769
47	3407.478193
48	3391.657668
49	3378.056784
50	3361.301159
51	3348.272968
52	3336.611129
53	3326.061613
54	3312.769829
55	3301.451563
56	3288.238646
57	3278.148709
58	3269.953603
59	3255.980736
60	3247.936702
61	3234.811363
62	3227.275715
63	3220.214321
64	3212.544583
65	3200.6671
66	3193.156743
67	3187.107751
68	3176.393598
69	3166.487287
70	3157.360387
71	3152.481034
72	3147.504066
73	3143.069108
74	3135.410785
75	3129.346244
76	3124.183329
77	3120.158158
78	3111.897628
79	3103.746821
80	3095.999482
81	3088.717021
82	3081.794252
83	3074.362422
84	3070.156829
85	3064.406012
86	3059.49915
87	3054.115881
88	3048.292494
89	3044.35761
90	3040.723876
91	3036.667295
92	3032.455851
93	3029.371528
94	3024.118356
95	3019.826928
96	3016.260107
97	3010.807039
98	3005.969179
99	3003.304332
100	3000.017587
101	2995.507339
102	2992.271889
103	2988.80909
104	2984.526045
105	2980.256054
106	2977.182729
107	2974.057135
108	2970.678563
109	2967.802964
110	2964.962023
111	2962.768681
112	2959.425294
113	2956.349501
114	2953.684384
115	2950.619027
116	2947.891287
117	2943.129491
118	2940.399812
119	2937.933033
120	2933.670326
121	2929.675329
122	2927.215281
123	2924.141894
124	2920.725354
125	2917.774816
126	2914.764416
127	2911.312277
128	2908.410109
129	2906.66407
130	2903.652633
131	2901.741271
132	2899.986579
133	2898.757532
134	2896.413051
135	2894.318452
136	2889.99106
137	2888.534392
138	2886.978091
139	2884.315681
140	2880.386145
141	2877.843079
142	2875.677429
143	2872.799089
144	2871.584823
145	2869.35238
146	2866.355695
147	2864.926483
148	2863.942963
149	2861.675434
150	2858.050757
151	2855.318151
152	2853.090214
153	2849.147559
154	2848.410996
155	2847.046375
156	2846.259243
157	2843.606367
158	2841.046302
159	2839.263699
160	2836.664056
161	2834.351796
162	2832.51053
163	2828.687847
164	2826.472275
165	2825.433574
166	2823.387605
167	2821.896798
168	2819.760171
169	2817.654289
170	2814.952126
171	2813.313538
172	2812.302511
173	2808.971325
174	2806.956007
175	2805.146403
176	2802.953844
177	2799.713886
178	2798.793834
179	2798.196775
180	2794.530243
181	2793.519982
182	2790.197943
183	2789.044174
184	2788.051293
185	2785.607537
186	2783.037365
187	2780.594911
188	2778.550847
189	2777.780537
190	2776.916671
191	2775.917966
192	2773.427454
193	2772.459974
194	2771.683004
195	2769.496122
196	2767.606795
197	2765.553223
198	2762.78412
199	2759.775973
200	2758.805729
201	2758.072523
202	2756.653466
203	2755.843382
204	2754.533981
205	2751.484393
206	2748.419201
207	2747.157463
208	2746.242597
209	2744.375038
210	2742.570876
211	2740.566371
212	2739.453066
213	2738.894831
214	2736.485821
215	2735.422174
216	2733.424676
217	2732.727768
218	2732.147303
219	2731.284386
220	2730.577531
221	2728.711672
222	2727.350224
223	2725.765747
224	2723.477308
225	2722.553809
226	2720.335293
227	2717.670941
228	2716.843448
229	2715.428217
230	2714.850043
231	2713.179135
232	2712.281605
233	2709.598628
234	2708.424348
235	2707.103168
236	2705.167785
237	2704.282392
238	2703.437479
239	2701.716176
240	2699.638722
241	2698.590009
242	2696.955304
243	2696.191308
244	2694.507821
245	2692.939222
246	2692.060228
247	2690.55393
248	2689.022889
249	2687.882459
250	2687.189883
251	2685.812791
252	2684.621602
253	2683.340028
254	2682.757395
255	2681.714652
256	2680.898795
257	2680.03273
258	2677.896093
259	2676.270398
260	2674.749759
261	2673.605865
262	2671.59942
263	2669.531832
264	2668.241489
265	2667.391703
266	2665.493581
267	2664.693909
268	2662.730829
269	2661.951568
270	2661.276256
271	2659.603487
272	2658.947294
273	2657.311125
274	2656.045469
275	2654.611797
276	2653.78832
277	2652.379223
278	2651.221028
279	2650.401741
280	2649.780068
281	2649.129232
282	2648.204628
283	2647.067753
284	2646.466468
285	2645.396114
286	2644.430756
287	2643.527836
288	2642.493087
289	2640.883739
290	2640.110405
291	2638.884773
292	2637.729056
293	2636.775851
294	2636.193906
295	2635.261356
296	2634.63171
297	2633.745078
298	2633.152934
299	2632.047048
300	2631.238314
301	2630.274146
302	2629.297348
303	2628.235182
304	2627.020663
305	2625.18403
306	2624.65781
307	2623.687694
308	2622.699679
309	2621.563653
310	2620.918771
311	2620.108882
312	2619.429043
313	2618.360257
314	2617.432097
315	2615.412445
316	2614.57093
317	2614.047983
318	2613.552198
319	2612.635689
320	2611.492301
321	2610.677863
322	2609.852239
323	2607.760321
324	2607.064142
325	2605.567875
326	2604.943303
327	2604.296037
328	2603.480678
329	2603.004278
330	2602.248186
331	2600.271949
332	2599.879919
333	2599.443919
334	2597.353377
335	2595.975925
336	2595.551878
337	2594.279279
338	2593.764294
339	2593.100206
340	2591.839308
341	2591.078503
342	2589.853055
343	2589.569712
344	2587.682727
345	2587.084714
346	2586.27798
347	2585.461705
348	2584.29886
349	2583.677718
350	2581.906122
351	2581.268315
352	2579.720678
353	2578.089726
354	2576.889312
355	2575.634532
356	2574.863568
357	2574.248962
358	2573.820431
359	2572.860318
360	2572.153222
361	2570.432141
362	2569.779403
363	2568.426362
364	2567.903901
365	2567.097843
366	2565.91541
367	2564.446392
368	2563.115413
369	2562.494939
370	2561.672378
371	2560.252466
372	2559.259801
373	2558.4812
374	2557.748012
375	2556.849768
376	2556.36246
377	2555.58677
378	2555.177015
379	2554.579344
380	2553.982742
381	2553.519887
382	2552.352914
383	2551.886212
384	2550.817071
385	2550.131934
386	2549.74864
387	2548.936965
388	2547.432679
