iter	Passed	Remaining
0	172	258608
1	196	147164
2	213	106509
3	229	85801
4	245	73501
5	262	65355
6	279	59511
7	296	55249
8	314	52106
9	331	49456
10	349	47319
11	367	45520
12	383	43852
13	401	42596
14	419	41484
15	436	40505
16	456	39796
17	473	38960
18	492	38380
19	510	37746
20	528	37224
21	547	36758
22	566	36388
23	585	35982
24	604	35667
25	623	35325
26	641	34981
27	660	34706
28	678	34413
29	698	34207
30	718	34051
31	737	33853
32	756	33651
33	775	33444
34	794	33253
35	814	33137
36	832	32935
37	851	32752
38	870	32626
39	891	32523
40	910	32408
41	930	32295
42	950	32192
43	971	32132
44	992	32084
45	1013	32035
46	1034	31977
47	1055	31926
48	1075	31839
49	1093	31717
50	1114	31658
51	1134	31587
52	1152	31467
53	1172	31404
54	1191	31301
55	1210	31224
56	1228	31100
57	1248	31034
58	1266	30937
59	1286	30871
60	1304	30771
61	1323	30699
62	1343	30634
63	1361	30539
64	1380	30474
65	1398	30394
66	1419	30358
67	1438	30286
68	1456	30198
69	1474	30125
70	1493	30063
71	1511	29975
72	1534	29997
73	1552	29923
74	1573	29887
75	1592	29845
76	1612	29803
77	1633	29778
78	1657	29814
79	1679	29807
80	1698	29758
81	1720	29758
82	1742	29748
83	1761	29696
84	1783	29692
85	1803	29658
86	1823	29622
87	1842	29569
88	1861	29516
89	1881	29479
90	1900	29419
91	1921	29403
92	1945	29426
93	1970	29471
94	1994	29503
95	2015	29481
96	2038	29487
97	2059	29465
98	2079	29424
99	2100	29403
100	2119	29356
101	2138	29307
102	2159	29291
103	2179	29249
104	2197	29192
105	2216	29146
106	2237	29124
107	2256	29086
108	2277	29066
109	2296	29024
110	2316	28986
111	2337	28967
112	2356	28923
113	2376	28898
114	2395	28852
115	2414	28810
116	2433	28769
117	2452	28722
118	2471	28681
119	2491	28650
120	2512	28636
121	2535	28637
122	2555	28609
123	2574	28567
124	2593	28530
125	2612	28492
126	2631	28449
127	2649	28402
128	2668	28362
129	2688	28334
130	2706	28281
131	2723	28222
132	2742	28187
133	2760	28141
134	2780	28118
135	2801	28093
136	2819	28051
137	2840	28036
138	2859	27998
139	2878	27962
140	2897	27928
141	2915	27885
142	2934	27849
143	2952	27801
144	2970	27762
145	2989	27724
146	3008	27692
147	3027	27658
148	3045	27616
149	3064	27576
150	3085	27560
151	3103	27522
152	3122	27485
153	3141	27457
154	3159	27417
155	3177	27374
156	3195	27335
157	3215	27307
158	3234	27280
159	3253	27248
160	3274	27235
161	3297	27231
162	3316	27201
163	3335	27169
164	3352	27126
165	3370	27089
166	3388	27050
167	3406	27009
168	3425	26976
169	3444	26945
170	3464	26926
171	3482	26890
172	3501	26861
173	3522	26841
174	3542	26818
175	3561	26788
176	3581	26767
177	3600	26740
178	3621	26723
179	3637	26672
180	3656	26646
181	3674	26610
182	3694	26591
183	3714	26569
184	3733	26538
185	3751	26505
186	3772	26488
187	3791	26461
188	3809	26426
189	3828	26396
190	3846	26360
191	3864	26329
192	3885	26309
193	3904	26287
194	3924	26261
195	3943	26236
196	3961	26203
197	3979	26166
198	3998	26141
199	4017	26115
200	4036	26086
201	4055	26061
202	4073	26025
203	4094	26010
204	4112	25978
205	4131	25954
206	4152	25938
207	4171	25910
208	4189	25879
209	4207	25844
210	4226	25820
211	4245	25794
212	4264	25770
213	4284	25744
214	4303	25722
215	4322	25692
216	4341	25670
217	4360	25645
218	4379	25614
219	4397	25583
220	4414	25548
221	4432	25516
222	4450	25485
223	4469	25460
224	4487	25429
225	4507	25408
226	4526	25385
227	4546	25363
228	4566	25345
229	4586	25325
230	4606	25306
231	4625	25280
232	4644	25257
233	4663	25233
234	4682	25207
235	4701	25178
236	4719	25149
237	4738	25127
238	4758	25106
239	4779	25092
240	4800	25077
241	4823	25072
242	4842	25048
243	4861	25024
244	4882	25012
245	4902	24991
246	4922	24970
247	4942	24952
248	4962	24930
249	4982	24911
250	5003	24895
251	5023	24878
252	5043	24859
253	5064	24845
254	5084	24826
255	5106	24813
256	5126	24793
257	5146	24776
258	5166	24756
259	5187	24738
260	5207	24721
261	5228	24705
262	5248	24684
263	5267	24660
264	5286	24636
265	5306	24616
266	5325	24591
267	5344	24570
268	5365	24552
269	5383	24526
270	5402	24501
271	5421	24477
272	5439	24447
273	5458	24425
274	5477	24399
275	5495	24371
276	5515	24353
277	5535	24330
278	5553	24302
279	5571	24277
280	5590	24251
281	5610	24231
282	5629	24208
283	5647	24181
284	5665	24154
285	5685	24135
286	5704	24108
287	5723	24088
288	5743	24067
289	5762	24043
290	5780	24016
291	5799	23992
292	5818	23967
293	5836	23942
294	5854	23914
295	5872	23886
296	5890	23860
297	5908	23833
298	5928	23813
299	5947	23789
300	5966	23766
301	5987	23751
302	6006	23728
303	6023	23699
304	6041	23670
305	6060	23649
306	6079	23625
307	6098	23603
308	6117	23577
309	6134	23549
310	6153	23527
311	6172	23502
312	6191	23480
313	6209	23454
314	6228	23432
